accuracy,gnn_type,loss_type,graph_pooling,dropout,num_layers,embedding_dim
0.712890625,gcn-virtual,sce,max,0.22656907931569426,10,300
0.69921875,gcn,ncod,mean,0.4636106987025668,4,300
0.6940104166666666,gcn-virtual,ncod,set2set,0.3486238839944339,11,300
0.6927083333333334,gcn-virtual,noisy_ce,mean,0.3116256201735303,12,300
0.6888020833333334,gcn-virtual,noisy_ce,sum,0.27167626693030195,11,300
0.6796875,gcn-virtual,sce,set2set,0.33319838288420167,11,300
0.673828125,gcn-virtual,noisy_ce,sum,0.26754045265437226,11,300
0.6705729166666666,gcn-virtual,noisy_ce,mean,0.3169193048065966,11,300
0.6634114583333334,gcn,noisy_ce,attention,0.4846392046162389,5,300
0.66015625,gcn-virtual,sce,mean,0.2526027813374653,10,300
0.6588541666666666,gcn-virtual,ncod,attention,0.36433135979539377,12,300
0.65625,gcn-virtual,ncod,set2set,0.2352688845376918,11,300
0.6497395833333334,gcn,noisy_ce,max,0.11693161203085711,6,300
0.6490885416666666,gin,ce,mean,0.5557038826669406,12,300
0.646484375,gcn-virtual,noisy_ce,mean,0.30281396822674245,12,300
0.6282552083333334,gcn-virtual,sce,set2set,0.34769703268720004,10,300
0.6197916666666666,gin-virtual,ncod,sum,0.3192136326745938,7,64
0.595703125,gcn,noisy_ce,attention,0.5161104107757066,5,300
0.408203125,gcn,noisy_ce,attention,0.6978828031089299,4,64
-inf,gin-virtual,noisy_ce,mean,0.16356099386369852,9,600
-inf,gin,ncod,max,0.006931763887261022,8,600
-inf,gin-virtual,noisy_ce,max,0.392857487193758,11,600
-inf,gcn-virtual,noisy_ce,sum,0.582235336922599,12,600
-inf,gin-virtual,ncod,attention,0.37021086157091343,10,600
-inf,gin,noisy_ce,sum,0.05179935547630299,11,600
-inf,gcn-virtual,noisy_ce,max,0.33152247181166733,12,600
