accuracy,gnn_type,loss_type,graph_pooling,dropout,num_layers,embedding_dim
0.7028210116731517,gin-virtual,noisy_ce,attention,0.05487534801392718,4,600
0.6896887159533074,gin-virtual,noisy_ce,mean,0.49942152286100716,10,300
0.6857976653696498,gin-virtual,ncod,attention,0.5192155641406881,10,300
0.683852140077821,gcn,ncod,mean,0.2984788502976987,7,600
0.6819066147859922,gin-virtual,ncod,mean,0.35842254271901697,10,300
0.6765564202334631,gin-virtual,ncod,sum,0.513132964811562,11,300
0.6765564202334631,gcn-virtual,noisy_ce,sum,0.1501890840972694,6,64
0.6726653696498055,gcn-virtual,noisy_ce,mean,0.22828744301715656,9,64
0.6648832684824902,gcn,noisy_ce,attention,0.6272172978951216,5,600
0.6614785992217899,gcn-virtual,ce,mean,0.2910270486315361,7,64
0.6541828793774319,gcn-virtual,ncod,max,0.07834589979741607,12,64
0.6410505836575876,gcn-virtual,ncod,max,0.11138062922411074,12,64
0.6016536964980544,gin,ncod,mean,0.04119724897445093,3,128
-inf,gin-virtual,ncod,set2set,0.6025102213148481,11,600
-inf,gcn,ncod,attention,0.5722179461414418,9,600
-inf,gcn,ncod,attention,0.5076902988775909,9,600
-inf,gcn,noisy_ce,attention,0.1719662761445226,9,600
-inf,gcn,noisy_ce,sum,0.18430721194648397,8,600
-inf,gcn-virtual,noisy_ce,mean,0.32472768755424775,12,600
-inf,gin-virtual,noisy_ce,mean,0.12379259619425464,10,600
-inf,gin-virtual,noisy_ce,mean,0.43195674772120696,8,600
-inf,gin-virtual,ncod,mean,0.05776506675573531,11,600
