accuracy,gnn_type,loss_type,graph_pooling,dropout
0.40559440559440557,gcn-virtual,ce,attention,0.6976717384675262
0.372960372960373,gin,noisy_ce,sum,0.2416695937728493
0.351981351981352,gin,sce,sum,0.30721542822750975
-inf,gin-virtual,ncod,set2set,0.522275635493438
0.45454545454545453,gin,sce,mean,0.38531678607552966
0.40792540792540793,gin-virtual,ce,set2set,0.3872954888829907
0.44522144522144524,gcn-virtual,sce,attention,0.183823730909592
0.4172494172494173,gin-virtual,noisy_ce,set2set,0.39106380821038716
0.4988344988344988,gcn,sce,max,0.21424982720265956
0.49417249417249415,gcn,ce,max,0.3852061670164778
0.4731934731934732,gcn,ncod,max,0.08597789489717567
0.48484848484848486,gcn,ce,max,0.021269810514204457
0.5104895104895105,gcn,ce,max,0.49946776585335556
0.4825174825174825,gcn,sce,max,0.53218474655032
0.4755244755244755,gcn,ce,max,0.5300222586526908
0.43356643356643354,gcn,sce,max,0.6449314804230055
0.5361305361305362,gcn,ncod,mean,0.1453567777472579
0.5128205128205128,gcn,ncod,mean,0.12102055775256665
0.38694638694638694,gcn-virtual,ncod,mean,0.10873189865247876
0.5384615384615384,gcn,ncod,mean,0.138748691213678
0.4988344988344988,gcn,ncod,mean,0.03376227659405004
0.5221445221445221,gcn,ncod,mean,0.13233627838859882
0.5221445221445221,gcn,ncod,mean,0.16365081065953688
0.5198135198135199,gcn,ncod,mean,0.2777922104048468
0.5104895104895105,gcn,ncod,mean,0.06582542309483012
0.5291375291375291,gcn,ncod,mean,0.14519844741248253
0.3916083916083916,gcn-virtual,ncod,mean,0.24309427061363378
0.4289044289044289,gin,noisy_ce,mean,0.1608907201065413
0.40326340326340326,gin-virtual,ncod,mean,0.003129022396012704
0.372960372960373,gcn-virtual,ncod,attention,0.05997430251040416
0.44988344988344986,gcn,ncod,sum,0.3186234443716296
0.5501165501165501,gcn,ncod,mean,0.13357042923361073
0.5104895104895105,gcn,ncod,mean,0.20784992386755077
0.5291375291375291,gcn,noisy_ce,mean,0.24551247510389096
0.3706293706293706,gin,ncod,sum,0.1372274187451007
0.5314685314685315,gcn,ncod,attention,0.19683518711410586
0.42424242424242425,gin,ncod,attention,0.28605582892178827
0.3706293706293706,gin-virtual,ncod,attention,0.20276513814169597
0.5058275058275058,gcn,noisy_ce,attention,0.10021464443392206
-inf,gcn,ncod,set2set,0.1796357402575487
0.3822843822843823,gin-virtual,ncod,attention,0.3250868678401008
0.5268065268065268,gcn,ncod,mean,0.150129029853252
0.5198135198135199,gcn,ncod,mean,0.06970949709928201
-inf,gcn,ncod,set2set,0.23595795430239686
0.4662004662004662,gcn,ncod,sum,0.18982456165141093
0.5314685314685315,gcn,sce,mean,0.0960515054711996
0.4172494172494173,gcn-virtual,sce,attention,0.08945052083125832
0.4358974358974359,gin,sce,mean,0.04564606046020656
0.4988344988344988,gcn,sce,set2set,0.10641569785376356
0.5384615384615384,gcn,sce,mean,0.26805212808368506
